Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
132.213.96.8-34.203.175.187-55843-443-6,34.203.175.187,443,132.213.96.8,55843,6,11/02/2024 12:09:43 AM,105727135,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513329572394069,7048475.666666667,7799601.624740886,1.5149573E7,22.0,9.0619884E7,1.5103314E7,31633.0668762926,1.5149596E7,1.5058559E7,1.05727135E8,1.3215891875E7,5340084.966551601,1.5149596E7,22.0,0,0,0,0,140,180,0.06620816879224051,0.08512478844716638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,9,0,-1,259,0,0,27.428571428571427,10.967484410096706,52.0,22.0,1.5103845857142856E7,28918.501398634966,1.5149573E7,1.5058536E7,No Label
132.213.96.8-207.38.88.122-55916-443-6,207.38.88.122,443,132.213.96.8,55916,6,11/02/2024 12:09:47 AM,110688968,38,32,1736.0,6592.0,564.0,0.0,45.68421052631579,96.40738596331094,1386.0,0.0,206.0,402.9859518883441,75.23785026164487,0.6324026799129612,1604187.9420289856,4578349.760384505,1.5731698E7,0.0,1.10657741E8,2990749.7567567565,5951034.970896073,1.5731698E7,0.0,1.10586478E8,3567305.741935484,6364706.203140965,1.5762762E7,0.0,0,1,0,0,760,664,0.34330431195275035,0.2890983679602108,0.0,1386.0,118.02816901408447,288.57056437506316,83272.97062374245,0,0,0,1,1,0,0,0,0.0,119.71428571428571,45.68421052631579,206.0,0,0,0,0,0,0,38,1736,32,6592,-1,257,18,0,707901.1428571428,1152702.115905844,2670392.0,31227.0,1.5090146142857144E7,287282.2290497787,1.5731698E7,1.4889114E7,No Label
132.213.96.8-132.213.99.255-57621-57621-17,132.213.96.8,57621,132.213.99.255,57621,17,11/02/2024 12:09:57 AM,90030955,3,1,132.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,0.0,1.9548831843447623,0.044429163280562775,3.0010318333333332E7,4598.517623466646,3.0013271E7,3.000502E7,6.0017684E7,3.0008842E7,5405.12423538997,3.0012664E7,3.000502E7,0,0,0,0,0,0,0,0,0,24,8,0.033321872460422085,0.011107290820140694,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,44.0,0,0,0,0,0,0,3,132,1,44,-1,-1,3,0,0,0,0,0,3.0010318333333332E7,4598.517623466646,3.0013271E7,3.000502E7,No Label
132.213.96.8-31.13.80.6-56037-443-6,132.213.96.8,56037,31.13.80.6,443,6,11/02/2024 12:09:58 AM,119093123,26,18,4210.0,379.0,1386.0,0.0,161.92307692307693,419.8354842627691,43.0,0.0,21.05555555555556,12.388192776246175,38.53287145723771,0.3694587805880277,2769607.511627907,4714110.428390324,1.0921971E7,0.0,1.19000617E8,4760024.680000001,5392991.126830335,1.0921971E7,0.0,1.19042539E8,7002502.294117648,5329478.880550807,1.1150727E7,15514.0,0,1,0,0,520,360,0.21831655216565274,0.15114222842237499,0.0,1386.0,102.6222222222222,324.2390594557782,105130.96767676767,0,0,0,1,1,0,0,0,0.0,104.95454545454545,161.92307692307693,21.055555555555557,0,0,0,0,0,0,26,4210,18,379,-1,1266,14,0,117646.0909090909,47560.19474824414,246907.0,91413.0,1.0700605181818182E7,597463.5391095959,1.0921971E7,8905936.0,No Label
132.213.96.8-35.186.224.38-55785-443-6,132.213.96.8,55785,35.186.224.38,443,6,11/02/2024 12:09:59 AM,93073730,7,9,129.0,203.0,43.0,0.0,18.428571428571427,22.984466804468497,43.0,0.0,22.555555555555557,21.419098435223127,3.567064519709267,0.17190672384141045,6204915.333333333,1.2792135146173883E7,3.0928149E7,9952.0,9.2997198E7,1.5499533E7,1.689408689349562E7,3.0928149E7,77192.0,9.3027408E7,1.1628426E7,1.6023477635067658E7,3.0984102E7,11985.0,0,1,0,0,140,180,0.07520919168061709,0.09669753216079338,0.0,43.0,22.058823529411764,21.466458103967963,460.80882352941177,0,0,0,1,1,0,0,0,1.0,23.4375,18.428571428571427,22.555555555555557,0,0,0,0,0,0,7,129,9,203,-1,268,3,0,77014.33333333333,422.51193277034594,77319.0,76532.0,3.0921653333333332E7,6565.58255856503,3.0928149E7,3.091502E7,No Label
132.213.96.8-107.167.110.211-56138-443-6,132.213.96.8,56138,107.167.110.211,443,6,11/02/2024 12:11:29 AM,38721980,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051650251355948223,3.872198E7,0.0,3.872198E7,3.872198E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.025825125677974112,0.025825125677974112,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
132.213.96.8-142.251.41.42-56129-443-6,132.213.96.8,56129,142.251.41.42,443,6,11/02/2024 12:10:23 AM,105504839,9,10,593.0,5817.0,517.0,0.0,65.88888888888889,170.9147773339424,1386.0,0.0,581.7,649.1570688207901,60.75550714787594,0.18008652664737015,5861379.944444444,1.4682740861989284E7,4.499948E7,0.0,1.05489468E8,1.31861835E7,2.0333359357376672E7,4.5014563E7,208.0,9.0107922E7,1.0011991333333332E7,1.9847373264334206E7,4.5024844E7,0.0,0,0,0,0,180,248,0.08530414420138586,0.0947823824459843,0.0,1386.0,320.5,532.8550212620788,283934.4736842105,0,1,0,0,0,0,0,0,1.0,337.36842105263156,65.88888888888889,581.7,0,0,0,0,0,0,9,593,10,5817,-1,261,4,0,67537.0,74181.15820071833,119991.0,15083.0,4.4979122E7,28790.55970279147,4.499948E7,4.4958764E7,No Label
132.213.96.8-104.18.131.236-56130-443-6,132.213.96.8,56130,104.18.131.236,443,6,11/02/2024 12:10:23 AM,105498278,8,8,583.0,2695.0,517.0,0.0,72.875,180.83175882571072,1386.0,0.0,336.875,522.4216790240291,31.071597206543977,0.1516612432290127,7033218.533333333,1.591221121458493E7,4.5008308E7,0.0,1.05492543E8,1.5070363285714285E7,2.120434484233801E7,4.5014834E7,1366.0,9.0062449E7,1.2866064142857144E7,2.1963989421319064E7,4.5021398E7,0.0,0,0,0,0,160,208,0.07583062161450635,0.07583062161450635,0.0,1386.0,192.8235294117647,391.9231804981235,153603.7794117647,0,1,0,0,0,0,0,0,1.0,204.875,72.875,336.875,0,0,0,0,0,0,8,583,8,2695,-1,8,4,0,36338.5,42161.2418282479,66151.0,6526.0,4.4991687E7,23505.643620203213,4.5008308E7,4.4975066E7,No Label
132.213.96.8-104.18.40.222-56128-443-6,132.213.96.8,56128,104.18.40.222,443,6,11/02/2024 12:10:23 AM,105505206,8,9,601.0,4259.0,535.0,0.0,75.125,187.14886168120668,1386.0,0.0,473.22222222222223,616.3711904724656,46.06407763423541,0.1611294896670786,6594075.375,1.5469631912660658E7,4.5008397E7,50.0,1.05499669E8,1.5071381285714287E7,2.1197886123360146E7,4.5014846E7,379.0,9.0069331E7,1.1258666375E7,2.083608954743001E7,4.5019272E7,248.0,0,0,0,0,160,228,0.07582564219627229,0.08530384747080633,0.0,1386.0,270.0,487.0610542716747,237228.47058823527,0,1,0,0,0,0,0,0,1.0,285.88235294117646,75.125,473.22222222222223,0,0,0,0,0,0,8,601,9,4259,-1,8,4,0,47729.0,58378.73585476136,89009.0,6449.0,4.4983782E7,34810.86683781374,4.5008397E7,4.4959167E7,No Label
132.213.96.8-31.13.80.8-56133-443-6,31.13.80.8,443,132.213.96.8,56133,6,11/02/2024 12:11:28 AM,39876320,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07523261925874805,1.993816E7,2.8196746984300192E7,3.9876271E7,49.0,0,0,0,0,0,3.987632E7,1.993816E7,2.8196746984300192E7,3.9876271E7,49.0,0,0,0,0,0,60,0.0,0.07523261925874805,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
132.213.96.8-142.251.41.33-56119-443-6,132.213.96.8,56119,142.251.41.33,443,6,11/02/2024 12:10:11 AM,117181679,10,13,621.0,10221.0,545.0,0.0,62.1,171.24994728304137,1386.0,0.0,786.2307692307693,664.9388635864897,92.52299585159554,0.19627641621349357,5326439.954545455,1.4065837933275841E7,4.5004204E7,0.0,1.17169092E8,1.3018788E7,2.0176428236306515E7,4.5018153E7,132.0,9.0129033E7,7510752.75,1.752614481487151E7,4.5039011E7,0.0,0,0,0,0,200,308,0.08533757226673634,0.11093884394675724,0.0,1386.0,451.74999999999994,616.6677105357402,380279.0652173914,0,1,0,0,0,0,0,0,1.0,471.39130434782606,62.1,786.2307692307693,0,0,0,0,0,0,10,621,13,10221,-1,261,4,0,63150.5,69581.42858909983,112352.0,13949.0,4.49839625E7,28625.803822775004,4.5004204E7,4.4963721E7,No Label
132.213.96.8-142.251.41.33-56120-443-6,132.213.96.8,56120,142.251.41.33,443,6,11/02/2024 12:10:11 AM,117181486,10,13,594.0,10220.0,518.0,0.0,59.4,162.79448530108274,1386.0,0.0,786.1538461538462,664.9212793198212,92.28420264272805,0.19627673948425606,5326431.181818183,1.4067604799623402E7,4.500349E7,23.0,1.17168016E8,1.3018668444444444E7,2.017651979569441E7,4.5018122E7,319.0,9.0108386E7,7509032.166666666,1.7522183363198087E7,4.5025638E7,77.0,0,0,0,0,200,308,0.08533771281924177,0.11093902666501429,0.0,1386.0,450.5833333333333,616.4812431764699,380049.1231884058,0,1,0,0,0,0,0,0,1.0,470.17391304347825,59.4,786.1538461538462,0,0,0,0,0,0,10,594,13,10220,-1,261,4,0,63369.5,68925.23349615872,112107.0,14632.0,4.49836055E7,28120.929581007807,4.500349E7,4.4963721E7,No Label
132.213.96.8-142.251.41.33-56121-443-6,132.213.96.8,56121,142.251.41.33,443,6,11/02/2024 12:10:11 AM,117181301,10,13,653.0,10221.0,577.0,0.0,65.3,181.28127316410817,1386.0,0.0,786.2307692307693,664.9388635864897,92.79637542170657,0.19627704935619378,5326422.7727272725,1.4067715377820596E7,4.5004173E7,14.0,1.1716799E8,1.3018665555555556E7,2.017652767162672E7,4.5018122E7,177.0,9.0108166E7,7509013.833333334,1.7522180476236947E7,4.5024906E7,59.0,0,0,0,0,200,308,0.0853378475461712,0.11093920181002256,0.0,1386.0,453.0833333333333,616.9126438523751,380581.2101449275,0,1,0,0,0,0,0,0,1.0,472.7826086956522,65.3,786.2307692307693,0,0,0,0,0,0,10,653,13,10221,-1,261,4,0,62918.0,69252.6239358481,111887.0,13949.0,4.4983947E7,28603.88351255822,4.5004173E7,4.4963721E7,No Label
