Flow ID,Src IP,Dst IP,Src Port,Protocol,Timestamp,Destination Port,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Header Length.1,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-132.213.202.32-44654-53-17,10.0.2.15,132.213.202.32,44654,17,25/02/2024 08:33:17 p.m.,53.0,8584.0,1.0,1.0,55.0,167.0,55.0,55.0,55.0,0.0,167.0,167.0,167.0,0.0,25862.068965517243,232.99161230195713,8584.0,0.0,8584.0,8584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,116.49580615097857,116.49580615097857,55.0,167.0,92.33333333333334,64.66323014923809,4181.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138.5,55.0,167.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,83.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911197943315.0,0.0,1708911197943315.0,1708911197943315.0,BENIGN
35.241.31.122-10.0.2.15-443-35800-6,35.241.31.122,10.0.2.15,443,6,25/02/2024 08:33:05 p.m.,35800.0,44985864.0,8.0,8.0,272.0,0.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,6.046343802577628,0.3556672825045663,2999057.6,6199091.552076306,14988336.0,22.0,44985754.0,6426536.285714285,7998105.006963643,14988384.0,10638.0,44985842.0,6426548.857142856,7998102.277385043,14988369.0,10641.0,1.0,0.0,0.0,0.0,160.0,160.0,0.17783364125228315,0.17783364125228315,0.0,34.0,18.0,17.4928556845359,305.99999999999994,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,1.0,19.125,34.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65535.0,63900.0,7.0,20.0,12759.0,2112.517692233606,14898.0,10674.0,427227807606294.75,854455585258937.5,1708911185494701.0,14954142.0,BENIGN
10.0.2.15-142.250.31.84-56692-443-6,10.0.2.15,142.250.31.84,56692,6,25/02/2024 08:33:26 p.m.,443.0,22037.0,2.0,2.0,39.0,39.0,39.0,0.0,19.5,27.577164466275352,39.0,0.0,19.5,27.577164466275352,3539.5017470617595,181.51291010573127,7345.666666666666,12001.934857902426,21196.0,5.0,22037.0,22037.0,0.0,22037.0,22037.0,21196.0,21196.0,0.0,21196.0,21196.0,1.0,0.0,0.0,0.0,40.0,40.0,90.75645505286563,90.75645505286563,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,29.25,19.5,19.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,64028.0,65535.0,0.0,20.0,0.0,0.0,0.0,0.0,1708911206858894.0,0.0,1708911206858894.0,1708911206858894.0,BENIGN
10.0.2.15-142.251.41.35-60666-443-6,10.0.2.15,142.251.41.35,60666,6,25/02/2024 08:33:30 p.m.,443.0,13523.0,2.0,2.0,39.0,39.0,39.0,0.0,19.5,27.577164466275352,39.0,0.0,19.5,27.577164466275352,5767.950898469275,295.7923537676551,4507.666666666666,7382.3468716481575,13029.0,49.0,13523.0,13523.0,0.0,13523.0,13523.0,13029.0,13029.0,0.0,13029.0,13029.0,1.0,0.0,0.0,0.0,40.0,40.0,147.89617688382754,147.89617688382754,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,29.25,19.5,19.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,64028.0,65535.0,0.0,20.0,0.0,0.0,0.0,0.0,1708911210986268.0,0.0,1708911210986268.0,1708911210986268.0,BENIGN
10.0.2.15-132.213.202.32-41188-53-17,10.0.2.15,132.213.202.32,41188,17,25/02/2024 08:33:44 p.m.,53.0,6143.0,1.0,1.0,51.0,81.0,51.0,51.0,51.0,0.0,81.0,81.0,81.0,0.0,21487.872375061044,325.5738238645613,6143.0,0.0,6143.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,162.78691193228065,162.78691193228065,51.0,81.0,61.0,17.320508075688775,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.5,51.0,81.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911224642074.0,0.0,1708911224642074.0,1708911224642074.0,BENIGN
10.0.2.15-132.213.202.32-59160-53-17,10.0.2.15,132.213.202.32,59160,17,25/02/2024 08:33:17 p.m.,53.0,3833.0,1.0,1.0,42.0,99.0,42.0,42.0,42.0,0.0,99.0,99.0,99.0,0.0,36785.807461518394,521.7845030002609,3833.0,0.0,3833.0,3833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,260.89225150013044,260.89225150013044,42.0,99.0,61.0,32.90896534380867,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.5,42.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,49.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911197820049.0,0.0,1708911197820049.0,1708911197820049.0,BENIGN
10.0.2.15-132.213.202.32-59075-53-17,10.0.2.15,132.213.202.32,59075,17,25/02/2024 08:33:44 p.m.,53.0,5064.0,1.0,1.0,42.0,135.0,42.0,42.0,42.0,0.0,135.0,135.0,135.0,0.0,34952.60663507109,394.9447077409163,5064.0,0.0,5064.0,5064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,197.47235387045814,197.47235387045814,42.0,135.0,73.0,53.693575034635195,2883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.5,42.0,135.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,67.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911224648503.0,0.0,1708911224648503.0,1708911224648503.0,BENIGN
10.0.2.15-132.213.202.32-54988-53-17,10.0.2.15,132.213.202.32,54988,17,25/02/2024 08:33:17 p.m.,53.0,8493.0,1.0,1.0,53.0,176.0,53.0,53.0,53.0,0.0,176.0,176.0,176.0,0.0,26963.381608383374,235.48804898151417,8493.0,0.0,8493.0,8493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,117.74402449075708,117.74402449075708,53.0,176.0,94.0,71.01408311032397,5043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.0,53.0,176.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,88.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911197814654.0,0.0,1708911197814654.0,1708911197814654.0,BENIGN
10.0.2.15-132.213.202.32-49028-53-17,10.0.2.15,132.213.202.32,49028,17,25/02/2024 08:33:44 p.m.,53.0,5770.0,1.0,1.0,51.0,158.0,51.0,51.0,51.0,0.0,158.0,158.0,158.0,0.0,36221.837088388216,346.6204506065858,5770.0,0.0,5770.0,5770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,173.3102253032929,173.3102253032929,51.0,158.0,86.66666666666666,61.776478803289955,3816.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,51.0,158.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,79.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911224642424.0,0.0,1708911224642424.0,1708911224642424.0,BENIGN
10.0.2.15-132.213.202.32-38856-53-17,10.0.2.15,132.213.202.32,38856,17,25/02/2024 08:33:44 p.m.,53.0,3993.0,1.0,1.0,42.0,135.0,42.0,42.0,42.0,0.0,135.0,135.0,135.0,0.0,44327.573253193084,500.8765339343852,3993.0,0.0,3993.0,3993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,250.4382669671926,250.4382669671926,42.0,135.0,73.0,53.693575034635195,2883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.5,42.0,135.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,67.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911224655972.0,0.0,1708911224655972.0,1708911224655972.0,BENIGN
